,precision,recall,f1-score,support
Bedlington_terrier,1.0,1.0,1.0,24.0
Saint_Bernard,1.0,1.0,1.0,24.0
keeshond,1.0,1.0,1.0,28.0
komondor,1.0,0.9545454545454546,0.9767441860465116,22.0
Sussex_spaniel,1.0,0.9473684210526315,0.972972972972973,19.0
affenpinscher,1.0,0.9285714285714286,0.9629629629629629,28.0
Afghan_hound,0.926829268292683,1.0,0.9620253164556962,38.0
chow,0.96,0.96,0.96,25.0
clumber,0.96,0.96,0.96,25.0
borzoi,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
Dandie_Dinmont,0.9428571428571428,0.9705882352941176,0.9565217391304348,34.0
African_hunting_dog,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
papillon,0.967741935483871,0.9375,0.9523809523809523,32.0
Saluki,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
Pomeranian,1.0,0.8918918918918919,0.9428571428571428,37.0
German_short-haired_pointer,0.92,0.9583333333333334,0.9387755102040817,24.0
Leonberg,0.9354838709677419,0.9354838709677419,0.9354838709677419,31.0
Ibizan_hound,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0
Rottweiler,0.9285714285714286,0.9285714285714286,0.9285714285714286,28.0
Weimaraner,0.9629629629629629,0.896551724137931,0.9285714285714286,29.0
Mexican_hairless,1.0,0.8571428571428571,0.9230769230769231,28.0
Gordon_setter,0.92,0.92,0.92,25.0
malinois,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
Brabancon_griffon,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
Blenheim_spaniel,1.0,0.8461538461538461,0.9166666666666666,26.0
Japanese_spaniel,0.9285714285714286,0.896551724137931,0.9122807017543859,29.0
dhole,0.8666666666666667,0.9629629629629629,0.9122807017543859,27.0
Scotch_terrier,0.9523809523809523,0.8695652173913043,0.9090909090909091,23.0
Border_terrier,0.8695652173913043,0.9523809523809523,0.9090909090909091,21.0
Irish_setter,0.9523809523809523,0.8695652173913043,0.9090909090909091,23.0
Sealyham_terrier,1.0,0.8285714285714286,0.90625,35.0
bloodhound,0.8285714285714286,1.0,0.90625,29.0
Old_English_sheepdog,0.8529411764705882,0.9666666666666667,0.90625,30.0
Airedale,0.8285714285714286,1.0,0.90625,29.0
Norwegian_elkhound,0.8409090909090909,0.9736842105263158,0.9024390243902439,38.0
otterhound,0.9583333333333334,0.8518518518518519,0.9019607843137255,27.0
bluetick,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
Maltese_dog,0.926829268292683,0.8636363636363636,0.8941176470588236,44.0
miniature_pinscher,0.9354838709677419,0.8529411764705882,0.8923076923076924,34.0
cocker_spaniel,0.8695652173913043,0.9090909090909091,0.8888888888888888,22.0
French_bulldog,1.0,0.8,0.8888888888888888,25.0
Bernese_mountain_dog,0.8125,0.9629629629629629,0.8813559322033898,27.0
pug,0.8125,0.9629629629629629,0.8813559322033898,27.0
cairn,0.8181818181818182,0.9473684210526315,0.8780487804878049,19.0
golden_retriever,0.9473684210526315,0.8181818181818182,0.8780487804878049,22.0
Newfoundland,0.84375,0.9,0.8709677419354839,30.0
Welsh_springer_spaniel,0.8846153846153846,0.8518518518518519,0.8679245283018868,27.0
Doberman,0.9411764705882353,0.8,0.8648648648648649,20.0
Irish_water_spaniel,0.8636363636363636,0.8636363636363636,0.8636363636363636,22.0
English_springer,0.95,0.7916666666666666,0.8636363636363636,24.0
Irish_terrier,0.8148148148148148,0.9166666666666666,0.8627450980392157,24.0
West_Highland_white_terrier,0.8064516129032258,0.9259259259259259,0.8620689655172413,27.0
Samoyed,0.8108108108108109,0.9090909090909091,0.8571428571428571,33.0
vizsla,0.9444444444444444,0.7727272727272727,0.85,22.0
Boston_bull,0.8064516129032258,0.8928571428571429,0.847457627118644,28.0
basenji,0.7674418604651163,0.9428571428571428,0.8461538461538461,35.0
curly-coated_retriever,0.7857142857142857,0.9166666666666666,0.8461538461538461,24.0
schipperke,1.0,0.7272727272727273,0.8421052631578947,22.0
Scottish_deerhound,0.8666666666666667,0.8125,0.8387096774193549,32.0
black-and-tan_coonhound,0.85,0.8095238095238095,0.8292682926829268,21.0
Great_Pyrenees,0.8125,0.8387096774193549,0.8253968253968254,31.0
briard,0.71875,0.9583333333333334,0.8214285714285714,24.0
Tibetan_mastiff,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0
basset,0.7714285714285715,0.8709677419354839,0.8181818181818182,31.0
flat-coated_retriever,0.782608695652174,0.8571428571428571,0.8181818181818182,21.0
redbone,0.7407407407407407,0.9090909090909091,0.8163265306122449,22.0
bull_mastiff,1.0,0.6857142857142857,0.8135593220338984,35.0
groenendael,0.7391304347826086,0.8947368421052632,0.8095238095238095,19.0
Kerry_blue_terrier,0.8260869565217391,0.7916666666666666,0.8085106382978723,24.0
Brittany_spaniel,0.696969696969697,0.9583333333333334,0.8070175438596491,24.0
Pembroke,0.75,0.8571428571428571,0.8,35.0
soft_coated_wheaten_terrier,0.782608695652174,0.8181818181818182,0.8,22.0
German_shepherd,0.8888888888888888,0.7272727272727273,0.8,22.0
English_setter,0.8,0.8,0.8,25.0
giant_schnauzer,0.9444444444444444,0.68,0.7906976744186046,25.0
Bouvier_des_Flandres,0.85,0.7391304347826086,0.7906976744186046,23.0
kelpie,0.72,0.8571428571428571,0.782608695652174,21.0
Pekinese,0.875,0.7,0.7777777777777778,20.0
Shetland_sheepdog,0.9545454545454546,0.65625,0.7777777777777778,32.0
Irish_wolfhound,0.7916666666666666,0.76,0.7755102040816326,25.0
wire_haired_fox_terrier,0.9047619047619048,0.6785714285714286,0.7755102040816326,28.0
silky_terrier,0.75,0.8,0.7741935483870968,30.0
Chesapeake_Bay_retriever,0.7352941176470589,0.8064516129032258,0.7692307692307693,31.0
dingo,0.9523809523809523,0.6451612903225806,0.7692307692307693,31.0
toy_terrier,0.72,0.8181818181818182,0.7659574468085106,22.0
Great_Dane,0.7037037037037037,0.8260869565217391,0.76,23.0
Chihuahua,0.9166666666666666,0.6470588235294118,0.7586206896551724,17.0
boxer,0.7,0.8235294117647058,0.7567567567567568,17.0
standard_poodle,0.7368421052631579,0.7777777777777778,0.7567567567567568,18.0
kuvasz,0.8125,0.6842105263157895,0.7428571428571429,19.0
Australian_terrier,0.7,0.7777777777777778,0.7368421052631579,36.0
EntleBucher,0.9130434782608695,0.6176470588235294,0.7368421052631579,34.0
standard_schnauzer,0.6428571428571429,0.8571428571428571,0.7346938775510204,21.0
beagle,0.5882352941176471,0.9523809523809523,0.7272727272727273,21.0
Italian_greyhound,0.9444444444444444,0.5862068965517241,0.723404255319149,29.0
Tibetan_terrier,0.875,0.6,0.711864406779661,35.0
Norfolk_terrier,0.7857142857142857,0.6470588235294118,0.7096774193548387,17.0
Labrador_retriever,0.6,0.8571428571428571,0.7058823529411765,21.0
Greater_Swiss_Mountain_dog,0.6333333333333333,0.76,0.6909090909090909,25.0
whippet,0.5555555555555556,0.8928571428571429,0.684931506849315,28.0
Norwich_terrier,0.9411764705882353,0.5333333333333333,0.6808510638297872,30.0
English_foxhound,0.7222222222222222,0.6190476190476191,0.6666666666666666,21.0
Yorkshire_terrier,0.6363636363636364,0.7,0.6666666666666666,20.0
Cardigan,0.7647058823529411,0.5652173913043478,0.65,23.0
Lakeland_terrier,0.5238095238095238,0.8461538461538461,0.6470588235294118,26.0
Lhasa,0.4878048780487805,0.8,0.6060606060606061,25.0
Rhodesian_ridgeback,0.75,0.5,0.6,24.0
miniature_schnauzer,0.6,0.5714285714285714,0.5853658536585366,21.0
Border_collie,0.65,0.52,0.5777777777777777,25.0
American_Staffordshire_terrier,0.5909090909090909,0.5652173913043478,0.5777777777777777,23.0
Shih_Tzu,0.6818181818181818,0.46875,0.5555555555555556,32.0
collie,0.41025641025641024,0.7619047619047619,0.5333333333333333,21.0
Staffordshire_bullterrier,0.5416666666666666,0.52,0.5306122448979592,25.0
miniature_poodle,0.52,0.5,0.5098039215686274,26.0
malamute,0.3384615384615385,1.0,0.5057471264367817,22.0
toy_poodle,0.45,0.45,0.45,20.0
Walker_hound,0.7,0.30434782608695654,0.42424242424242425,23.0
Appenzeller,0.4,0.42857142857142855,0.41379310344827586,14.0
Siberian_husky,0.7272727272727273,0.24242424242424243,0.36363636363636365,33.0
Eskimo_dog,0.5,0.043478260869565216,0.08,23.0
macro avg,0.820579082090192,0.8044717649443702,0.8000802019123545,3087.0
weighted avg,0.8289390744477976,0.8082280531260123,0.8061319018274529,3087.0
